Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
2416,497,16123.0,15.222222222222221,8.666666666666666,25.0,6.0,0.0011111111111111113,0.22,734.3333333333335,9,0,0,10.0
2416,505,38340.4,16.0,12.2,26.8,6.0,0.018000000000000002,0.196,1145.6,4,0,2,6.66667
2416,539,2272.0,12.0,10.0,34.0,5.0,0.0,0.235,1259.0,2,0,0,10.0
2416,542,689450.6666666665,28.444444444444446,22.222222222222218,74.0,12.777777777777779,0.05222222222222222,0.14777777777777776,1730.111111111111,9,0,0,10.0
2416,576,1618.0,12.5,12.5,24.5,7.5,0.0,0.415,1187.5,1,1,0,5.0
2416,605,102384.75,14.583333333333336,11.666666666666664,32.0,5.583333333333332,0.010833333333333334,0.25416666666666665,872.5,10,2,0,8.33333
2416,627,2887.5,10.5,10.0,73.0,21.5,0.005,0.17500000000000002,1003.5,1,1,0,1.65
2416,640,629912.6363636364,16.181818181818183,13.181818181818182,11.181818181818182,2.8181818181818183,0.011818181818181818,0.11363636363636365,474.54545454545456,11,0,0,10.0
2416,675,2491.0,14.0,13.5,24.0,9.5,0.0,0.235,1200.5,1,1,0,5.0
2416,684,261506.3,13.9,12.4,6.4,3.8,0.09,0.043,149.0,10,0,0,10.0
2416,722,1439.0,20.0,18.5,6.5,1.0,0.005,0.2,572.5,0,2,0,0.0
2416,726,171205.7,25.0,20.1,5.8,1.3,0.068,0.019,125.0,9,1,0,9.0
2416,772,634869.5,10.5,9.0,10.0,10.0,0.0,0.165,829.5,0,1,1,0.0
2417,408,98387.64285714287,2.4285714285714284,2.071428571428572,9.642857142857142,4.0,0.0014285714285714286,0.2707142857142857,338.5,14,0,0,10.0
2417,439,119642.66666666669,11.416666666666664,5.583333333333332,36.583333333333336,4.416666666666667,0.0,0.3325,1468.75,12,0,0,10.0
2417,441,261123.85714285716,5.0,4.285714285714286,29.857142857142854,2.2857142857142856,0.0,0.2357142857142857,683.2857142857142,3,1,3,4.28571
